category_name,display_order,created_at,updated_at,deleted_at
プログラム,1,2022/6/13 18:34,NULL,NULL
スマートフォン開発,2,2022/6/13 18:34,NULL,NULL
機械学習,3,2022/6/13 18:34,NULL,NULL
データベース,4,2022/6/13 18:34,NULL,NULL
NoSQL,5,2022/6/13 18:34,NULL,NULL
全文検索エンジン,6,2022/6/13 18:34,NULL,NULL
BigData,7,2022/6/13 18:34,NULL,NULL
BigQurey,8,2022/6/13 18:34,NULL,NULL
開発サポート,9,2022/6/13 18:34,NULL,NULL
サーバ構成管理,10,2022/6/13 18:34,NULL,NULL
テスト,11,2022/6/13 18:34,NULL,NULL
開発手法,12,2022/6/13 18:34,NULL,NULL
BI,13,2022/6/13 18:34,NULL,NULL
データ可視化,14,2022/6/13 18:34,NULL,NULL
クラウドサービス,15,2022/6/13 18:34,NULL,NULL
クラウドソフトウェア,16,2022/6/13 18:34,NULL,NULL
仮想化ソフトウェア,17,2022/6/13 18:34,NULL,NULL
OS,18,2022/6/13 18:34,NULL,NULL
サーバ監視,19,2022/6/13 18:34,NULL,NULL
ネットワーク,20,2022/6/13 18:34,NULL,NULL
Webサーバ,21,2022/6/13 18:34,NULL,NULL
分散型アプリケーション,22,2022/6/13 18:34,NULL,NULL
開発ツール,23,2022/6/13 18:34,NULL,NULL
グラフィック,24,2022/6/13 18:34,NULL,NULL
ガジェット,25,2022/6/13 18:34,NULL,NULL
UI/UX,26,2022/6/13 18:34,NULL,NULL
Web制作,27,2022/6/13 18:34,NULL,NULL
CMS,28,2022/6/13 18:34,NULL,NULL
マーケティング,29,2022/6/13 18:34,NULL,NULL
セキュリティ,30,2022/6/13 18:34,NULL,NULL
領域,31,2022/6/13 18:34,NULL,NULL
マーケット,32,2022/6/13 18:34,NULL,NULL
イベント種別,33,2022/6/13 18:34,NULL,NULL
